timestamp,instance_id,algorithm,weight,gamma,run_idx,horizon_days,shift_hours,shift_fte,cpsat_time_limit_s,success,error_message,makespan_days,runtime_ms,best_bound_days,optimality_gap,gap_vs_cpsat
2026-04-30T14:06:15,MOD_M1,A_MTS,,,1,30,14,6,,Y,,20,4,,,0.111111
2026-04-30T14:06:15,MOD_M1,A_SPT,,,1,30,14,6,,Y,,24,3,,,0.333333
2026-04-30T14:06:15,MOD_M1,C_ENHANCED,0.0,0.0,1,30,14,6,,Y,,20,47,,,0.111111
2026-04-30T14:06:15,MOD_M1,C_ENHANCED,0.25,0.0,1,30,14,6,,Y,,21,36,,,0.166667
2026-04-30T14:06:15,MOD_M1,C_ENHANCED,0.5,0.0,1,30,14,6,,Y,,23,19,,,0.277778
2026-04-30T14:06:15,MOD_M1,C_ENHANCED,0.75,0.0,1,30,14,6,,Y,,23,18,,,0.277778
2026-04-30T14:06:15,MOD_M1,C_ENHANCED,1.0,0.0,1,30,14,6,,Y,,23,20,,,0.277778
2026-04-30T14:06:15,MOD_M1,C_ENHANCED,0.0,0.5,1,30,14,6,,Y,,19,43,,,0.055556
2026-04-30T14:06:15,MOD_M1,C_ENHANCED,0.25,0.5,1,30,14,6,,Y,,21,38,,,0.166667
2026-04-30T14:06:15,MOD_M1,C_ENHANCED,0.5,0.5,1,30,14,6,,Y,,22,18,,,0.222222
2026-04-30T14:06:15,MOD_M1,C_ENHANCED,0.75,0.5,1,30,14,6,,Y,,23,22,,,0.277778
2026-04-30T14:06:15,MOD_M1,C_ENHANCED,1.0,0.5,1,30,14,6,,Y,,22,20,,,0.222222
2026-04-30T14:06:15,MOD_M1,B_CPSAT,,,1,30,14,6,600,Y,,18,570,18,0.0,0.000000
2026-04-30T14:06:16,MOD_M1,B_CPSAT,,,2,30,14,6,600,Y,,18,1108,18,0.0,0.000000
2026-04-30T14:06:17,MOD_M1,B_CPSAT,,,3,30,14,6,600,Y,,18,951,18,0.0,0.000000
